Serial No of polling station,,,,,,,,,,,,,,,,,,,,,,
,Koli Patel Somabhai Gandalal,Parmar Minaxiben Vijaybhai,Fatepara Devjibhai Govindbhai,Jethabhai Manjibhai Patel,Bar Ajmalbhai Karmanbhai,Majethiya Samaratbhai Jerambhai,Chavda Palabhai Nanajibhai,Parmar Prabhubhai Gokalbha,Parmar Vasharambhai Bavalbhai,Makvana Ukabhai Amrabhai,Makvana Vasharambhai Karshanbhai,Mansinh Shivubha Zala,Vadaliya Kalubhai Malubhai,Vaghela Prakashbhai Bachubhai,Vora Bhavanbhai Devajibhai,Sapara Vipulbhai Rameshbhai,Sankaliya Gangarambhai Tapubhai,valid,No. of rejected Votes (test votes),"Votes for ""NOTA"" option",Total,No. of tendered votes
197,191,5,477,21,2,0,0,0,0,0,0,2,3,14,3,6,5,729,0,6,735,0
198,150,5,149,19,1,0,1,0,0,0,1,0,0,1,0,7,3,337,0,2,339,0
199,241,6,176,13,8,0,1,0,1,0,0,2,1,6,3,15,8,481,0,6,487,0
200,257,2,89,6,7,1,1,1,0,1,0,0,2,3,1,10,7,388,0,6,394,0
201,88,2,294,3,17,0,0,0,0,1,2,0,1,7,2,5,1,423,0,1,424,0
202,238,5,240,4,2,3,1,1,5,2,1,3,6,10,9,23,3,556,0,9,565,0
203,434,11,231,3,15,1,1,5,2,2,2,1,5,12,7,21,21,774,0,7,781,0
204,211,6,283,7,3,1,1,4,4,0,0,7,7,23,15,28,2,602,0,1,603,0
205,214,1,624,23,4,1,0,1,0,0,0,0,2,4,1,8,4,887,0,13,900,0
206,137,7,497,6,2,1,0,0,0,2,0,1,1,10,2,9,9,684,0,4,688,0
207,32,0,440,8,0,0,0,0,0,0,1,0,1,6,0,2,2,492,0,9,501,0
208,65,1,634,15,0,0,1,0,0,0,1,0,0,1,1,0,0,719,0,9,728,0
209,63,1,478,22,0,1,0,0,0,0,0,1,1,4,1,0,1,573,0,9,582,0
210,180,8,727,12,3,1,0,0,1,3,1,0,4,6,2,9,6,963,0,8,971,0
211,237,3,263,8,3,0,0,0,0,0,1,0,0,0,0,3,2,520,0,8,528,0
212,226,2,525,12,2,0,0,1,1,2,0,1,1,2,1,6,5,787,0,14,801,0
213,212,3,479,14,0,0,0,1,0,1,0,0,0,3,0,2,8,723,0,12,735,0
214,89,3,781,15,2,2,0,1,3,0,0,1,0,7,3,11,4,922,0,7,929,0
215,199,2,191,5,2,1,0,0,2,1,1,1,1,6,1,6,5,424,0,6,430,0
216,145,3,305,14,3,1,1,1,0,0,0,0,2,13,3,3,2,496,0,5,501,0
